groups: 6
color: 0.791966,0.415102,0.287924 
count: 13 
0.14367,0.32493
0.14934,0.78151
0.29112,0.52661
0.32136,0.20728
0.32514,0.85154
0.44423,0.92157
0.44991,0.82913
0.60491,0.7423
0.6276,0.18487
0.64272,0.36134
0.73346,0.20168
0.82231,0.53782
0.83743,0.44538
color: 0.711438,0.580126,0.276263 
count: 19 
0.10586,0.62465
0.12287,0.22689
0.18715,0.36695
0.26465,0.17087
0.28544,0.63866
0.30246,0.39496
0.38563,0.070028
0.43856,0.56022
0.75992,0.31653
0.7656,0.40896
0.76938,0.5098
0.77316,0.61345
0.77505,0.72549
0.8431,0.73109
0.90926,0.40616
0.91304,0.52101
0.91304,0.72549
0.91493,0.61625
0.91871,0.30532
color: 0.729250,0.411215,0.505337 
count: 16 
0.10019,0.86555
0.10964,0.70028
0.16824,0.91036
0.17769,0.16527
0.22117,0.2381
0.25142,0.88235
0.28544,0.73109
0.37807,0.89076
0.42533,0.18487
0.43856,0.43978
0.44234,0.64146
0.49149,0.93838
0.52552,0.21289
0.5293,0.84594
0.64272,0.82073
0.83932,0.60784
color: 0.514116,0.564331,0.638741 
count: 16 
0.058601,0.19328
0.10019,0.54622
0.18715,0.46499
0.53119,0.7423
0.53308,0.51261
0.53308,0.62465
0.53686,0.31933
0.53686,0.41457
0.59168,0.41457
0.62193,0.51261
0.63705,0.61625
0.68809,0.73669
0.68998,0.30532
0.68998,0.40616
0.69187,0.507
0.69376,0.61625
color: 0.806078,0.305983,0.315397 
count: 15 
0.28733,0.30812
0.35539,0.31373
0.37051,0.63585
0.37051,0.7451
0.3724,0.51541
0.37429,0.41176
0.41777,0.31653
0.47637,0.31653
0.73346,0.77871
0.76371,0.10084
0.81853,0.35014
0.85633,0.81513
0.91871,0.80672
0.92439,0.14846
0.96786,0.48459
color: 0.491014,0.697486,0.484417 
count: 20 
0.045369,0.72829
0.049149,0.51541
0.049149,0.61905
0.056711,0.42577
0.060491,0.32213
0.12665,0.43417
0.15312,0.53221
0.17769,0.63025
0.21739,0.7423
0.22684,0.31092
0.22873,0.52101
0.22873,0.62465
0.23251,0.41457
0.6276,0.28011
0.66541,0.93838
0.73913,0.86555
0.79962,0.26611
0.81096,0.85434
0.85444,0.11485
0.86578,0.30532
